#Organism Name	Organism Groups	Strain	BioSample	BioProject	Size(Mb)	GC%	Replicons	CDS	Neighbors	Release Date	Assembly	Genes	Modify Date	tRNA
Erwinia amylovora LA635	Bacteria;Proteobacteria;Gammaproteobacteria	LA635	SAMEA3138844	PRJEB4664	0.028275	50.2175	IX:NC_023055.1/HG793096.1	30	0	2013-12-04T00:00:00Z	GCA_000513415.1	34	2017-04-02T00:00:00Z	0
Erwinia amylovora LA636	Bacteria;Proteobacteria;Gammaproteobacteria	LA636	SAMEA3138843	PRJEB4665	0.027319	50.5948	IX:NC_023071.1/HG793097.1	31	0	2013-12-04T00:00:00Z	GCA_000513395.1	35	2017-04-02T00:00:00Z	0
Erwinia amylovora LA637	Bacteria;Proteobacteria;Gammaproteobacteria	LA637	SAMEA3138841	PRJEB4666	0.028275	50.2175	IX:NC_023056.1/HG793098.1	30	0	2013-12-12T00:00:00Z	GCA_000513355.1	34	2017-04-02T00:00:00Z	0
Erwinia amylovora LA637	Bacteria;Proteobacteria;Gammaproteobacteria	LA637	SAMEA3138841	PRJEB4666	0.07874	60.1499	X:NC_023072.1/HG793099.1	93	0	2013-12-12T00:00:00Z	GCA_000513355.1	93	2017-04-02T00:00:00Z	0
Erwinia amylovora MR1	Bacteria;Proteobacteria;Gammaproteobacteria	MR1		PRJEB607	0.027603	50.0815	pEA29:HF560649.1	39	1	2013-04-08T00:00:00Z	GCA_000367685.2	39	2016-07-26T00:00:00Z	0
Erwinia billingiae Eb661	Bacteria;Proteobacteria;Gammaproteobacteria	Eb661	SAMEA2272131	PRJEA34781	0.102323	51.744	pEB102:NC_014304.1/FP236826.1	113	0	2010-06-22T00:00:00Z	GCA_000196615.1	116	2017-04-07T00:00:00Z	0
Erwinia billingiae Eb661	Bacteria;Proteobacteria;Gammaproteobacteria	Eb661	SAMEA2272131	PRJEA34781	0.169778	52.3389	pEB170:NC_014305.1/FP236830.1	174	0	2010-06-22T00:00:00Z	GCA_000196615.1	184	2017-04-07T00:00:00Z	0
Erwinia gerundensis	Bacteria;Proteobacteria;Gammaproteobacteria	E_g_EM595	SAMEA3650399	PRJEB11465	0.571293	55.0556	pEM01:NZ_LN907828.1/LN907828.1	509	0	2016-01-07T00:00:00Z	GCA_001517405.1	530	2017-04-11T00:00:00Z	0
Erwinia gerundensis	Bacteria;Proteobacteria;Gammaproteobacteria	E_g_EM595	SAMEA3650399	PRJEB11465	0.134943	52.2754	pEM02:NZ_LN907829.1/LN907829.1	129	0	2016-01-07T00:00:00Z	GCA_001517405.1	142	2017-04-11T00:00:00Z	0
Erwinia persicina	Bacteria;Proteobacteria;Gammaproteobacteria	B64	SAMN07482636	PRJNA397630	0.144252	53.9382	pEP1:NZ_CP022726.1/CP022726.1	149	0	2018-09-08T00:00:00Z	GCA_003485445.1	160	2018-09-08T00:00:00Z	0
Erwinia persicina	Bacteria;Proteobacteria;Gammaproteobacteria	B64	SAMN07482636	PRJNA397630	0.130525	55.4982	pEP2:NZ_CP022727.1/CP022727.1	122	0	2018-09-08T00:00:00Z	GCA_003485445.1	129	2018-09-08T00:00:00Z	0
Erwinia pyrifoliae Ep1/96	Bacteria;Proteobacteria;Gammaproteobacteria			PRJNA187893	0.035904	49.8468	pEP36:NC_004445.1/AY123045.1	32	0	2002-12-18T00:00:00Z		32	2014-12-18T00:00:00Z	0
Erwinia pyrifoliae	Bacteria;Proteobacteria;Gammaproteobacteria	EpK1/15	SAMN07689503	PRJNA411857	0.048456	50.2559	pEP48:NZ_CP023568.1/CP023568.1	44	0	2018-03-04T00:00:00Z	GCA_002952315.1	53	2018-03-04T00:00:00Z	0
Erwinia pyrifoliae DSM 12163	Bacteria;Proteobacteria;Gammaproteobacteria	DSM 12163	SAMEA2272353	PRJEA37877	0.00307	48.9577	pEP3:NC_017388.1/FN392237.1	6	0	2010-01-07T00:00:00Z	GCA_000026985.1	6	2017-04-07T00:00:00Z	0
Erwinia pyrifoliae DSM 12163	Bacteria;Proteobacteria;Gammaproteobacteria	DSM 12163	SAMEA2272353	PRJEA37877	0.00496	53.1452	pEp5:NC_017389.1/FN392239.1	5	0	2010-01-07T00:00:00Z	GCA_000026985.1	7	2017-04-07T00:00:00Z	0
Erwinia pyrifoliae DSM 12163	Bacteria;Proteobacteria;Gammaproteobacteria	DSM 12163	SAMEA2272353	PRJEA37877	0.00261	44.751	pEP2.6:NC_017391.1/FN392236.1	2	0	2010-01-07T00:00:00Z	GCA_000026985.1	4	2017-04-07T00:00:00Z	0
Erwinia pyrifoliae DSM 12163	Bacteria;Proteobacteria;Gammaproteobacteria	DSM 12163	SAMEA2272353	PRJEA37877	0.035901	49.8733	pEP36:NC_017392.1/FN392238.1	29	0	2010-01-07T00:00:00Z	GCA_000026985.1	36	2017-04-07T00:00:00Z	0
Erwinia pyrifoliae Ep1/96	Bacteria;Proteobacteria;Gammaproteobacteria	Ep1/96	SAMEA2272200	PRJEA34779	0.035909	49.8872	pEP36:NC_013263.1/FP236829.1	33	0	2009-09-18T00:00:00Z	GCA_000027265.1	37	2017-04-07T00:00:00Z	0
Erwinia pyrifoliae Ep1/96	Bacteria;Proteobacteria;Gammaproteobacteria	Ep1/96	SAMEA2272200	PRJEA34779	0.00307	48.9577	pEP03:NC_013264.1/FP236827.1	6	0	2009-09-18T00:00:00Z	GCA_000027265.1	6	2017-04-07T00:00:00Z	0
Erwinia pyrifoliae Ep1/96	Bacteria;Proteobacteria;Gammaproteobacteria	Ep1/96	SAMEA2272200	PRJEA34779	0.004955	53.1584	pEP05:NC_013265.1/FP236828.1	6	0	2009-09-18T00:00:00Z	GCA_000027265.1	7	2017-04-07T00:00:00Z	0
Erwinia pyrifoliae Ep1/96	Bacteria;Proteobacteria;Gammaproteobacteria	Ep1/96	SAMEA2272200	PRJEA34779	0.00259	44.9035	pEP2.6:NC_013954.1/FP928999.1	5	0	2010-03-05T00:00:00Z	GCA_000027265.1	5	2017-04-07T00:00:00Z	0
Erwinia sp. Ejp 556	Bacteria;Proteobacteria;Gammaproteobacteria			PRJNA187715	0.029593	49.7347	pEJ30:NC_004834.1/AY255829.1	22	0	2003-06-17T00:00:00Z		22	2014-12-17T00:00:00Z	0
Erwinia sp. Ejp617	Bacteria;Proteobacteria;Gammaproteobacteria	Ejp617	SAMN02603467	PRJNA51141	0.030866	49.9125	pJE01:NC_017442.1/CP002125.1	27	0	2012-05-01T00:00:00Z	GCA_000165815.1	35	2017-04-17T00:00:00Z	0
Erwinia sp. Ejp617	Bacteria;Proteobacteria;Gammaproteobacteria	Ejp617	SAMN02603467	PRJNA51141	0.006417	67.7264	pJE03:NC_017443.1/CP002127.1	0	0	2012-05-01T00:00:00Z	GCA_000165815.1	0	2017-04-17T00:00:00Z	0
Erwinia sp. Ejp617	Bacteria;Proteobacteria;Gammaproteobacteria	Ejp617	SAMN02603467	PRJNA51141	0.002691	50.2044	pJE05:NC_017444.1/CP002129.1	5	0	2012-05-01T00:00:00Z	GCA_000165815.1	5	2017-04-17T00:00:00Z	0
Erwinia sp. Ejp617	Bacteria;Proteobacteria;Gammaproteobacteria	Ejp617	SAMN02603467	PRJNA51141	0.005296	54.966	pJE02:NC_017446.1/CP002126.1	7	0	2012-05-01T00:00:00Z	GCA_000165815.1	8	2017-04-17T00:00:00Z	0
Erwinia sp. Ejp617	Bacteria;Proteobacteria;Gammaproteobacteria	Ejp617	SAMN02603467	PRJNA51141	0.003237	68.2113	pJE04:NC_017447.1/CP002128.1	0	0	2012-05-01T00:00:00Z	GCA_000165815.1	0	2017-04-17T00:00:00Z	0
Erwinia tasmaniensis Et1/99	Bacteria;Proteobacteria;Gammaproteobacteria	Et1/99	SAMEA2272215	PRJEA20585	0.046159	48.985	pET46:NC_010693.1/CU468133.1	40	0	2008-05-13T00:00:00Z	GCA_000026185.1	51	2017-04-17T00:00:00Z	0
Erwinia tasmaniensis Et1/99	Bacteria;Proteobacteria;Gammaproteobacteria	Et1/99	SAMEA2272215	PRJEA20585	0.009299	47.0481	pET09:NC_010695.1/CU468128.1	6	0	2008-05-13T00:00:00Z	GCA_000026185.1	7	2017-04-17T00:00:00Z	0
Erwinia tasmaniensis Et1/99	Bacteria;Proteobacteria;Gammaproteobacteria	Et1/99	SAMEA2272215	PRJEA20585	0.035494	39.9786	pET35:NC_010696.1/CU468130.1	43	0	2008-05-13T00:00:00Z	GCA_000026185.1	43	2017-04-17T00:00:00Z	0
Erwinia tasmaniensis Et1/99	Bacteria;Proteobacteria;Gammaproteobacteria	Et1/99	SAMEA2272215	PRJEA20585	0.048751	43.7345	pET49:NC_010697.1/CU468131.1	63	0	2008-05-13T00:00:00Z	GCA_000026185.1	64	2017-04-17T00:00:00Z	0
Erwinia tasmaniensis Et1/99	Bacteria;Proteobacteria;Gammaproteobacteria	Et1/99	SAMEA2272215	PRJEA20585	0.044694	50.7988	pET45:NC_010699.1/CU468132.1	46	0	2008-05-13T00:00:00Z	GCA_000026185.1	46	2017-04-17T00:00:00Z	0
Erwinia tracheiphila	Bacteria;Proteobacteria;Gammaproteobacteria	MDcuke	SAMN04386697	PRJNA272881	0.091166	53.3072	unnamed1:CP013971.1	85	0	2018-07-24T00:00:00Z	GCA_003568535.1	99	2018-07-24T00:00:00Z	0
Erwinia tracheiphila	Bacteria;Proteobacteria;Gammaproteobacteria	MDcuke	SAMN04386697	PRJNA272881	0.048472	48.2856	unnamed2:CP013972.1	54	0	2018-07-24T00:00:00Z	GCA_003568535.1	57	2018-07-24T00:00:00Z	0
Erwinia tracheiphila	Bacteria;Proteobacteria;Gammaproteobacteria	MDcuke	SAMN04386697	PRJNA272881	0.039613	50.4658	unnamed3:CP013973.1	36	0	2018-07-24T00:00:00Z	GCA_003568535.1	43	2018-07-24T00:00:00Z	0
Erysipelothrix larvae	Bacteria;Terrabacteria group;Firmicutes	LV19	SAMN04087214	PRJNA295643	0.016378	36.781	unnamed:NZ_CP013214.1/CP013214.1	19	0	2016-08-18T00:00:00Z	GCA_001545095.1	22	2017-10-23T00:00:00Z	0
Erysipelothrix rhusiopathiae	Bacteria;Terrabacteria group;Firmicutes			PRJNA187658	0.001987	31.4545	pAP1:NC_002148.1/AF028735.2	1	0	1999-08-23T00:00:00Z		1	2014-12-17T00:00:00Z	0
Erythrobacter atlanticus	Bacteria;Proteobacteria;Alphaproteobacteria	s21-N3	SAMN03565637	PRJNA241282	0.213959	60.4915	unnamed:NZ_CP015441.1/CP015441.1	216	0	2016-05-12T00:00:00Z	GCA_001077815.2	224	2017-04-12T00:00:00Z	0
Erythrobacter sp. YH-07	Bacteria;Proteobacteria;Alphaproteobacteria	YH-07	SAMN09702117	PRJNA482272	0.407975	59.8721	unnamed:NZ_CP031358.1/CP031358.1	483	0	2018-08-08T00:00:00Z	GCA_003355455.1	490	2018-08-08T00:00:00Z	3
Escherichia albertii	Bacteria;Proteobacteria;Gammaproteobacteria	2014C-4356	SAMN07159041	PRJNA218110	0.040461	40.8566	unnamed1:NZ_CP024283.1/CP024283.1	52	0	2017-11-05T00:00:00Z	GCA_002741375.1	57	2017-11-05T00:00:00Z	0
Escherichia albertii	Bacteria;Proteobacteria;Gammaproteobacteria	2014C-4356	SAMN07159041	PRJNA218110	0.059626	52.5593	unnamed2:NZ_CP024284.1/CP024284.1	73	0	2017-11-05T00:00:00Z	GCA_002741375.1	80	2017-11-05T00:00:00Z	0
Escherichia albertii	Bacteria;Proteobacteria;Gammaproteobacteria	2014C-4356	SAMN07159041	PRJNA218110	0.127606	53.1629	unnamed3:NZ_CP024285.1/CP024285.1	160	0	2017-11-05T00:00:00Z	GCA_002741375.1	173	2017-11-05T00:00:00Z	0
Escherichia albertii	Bacteria;Proteobacteria;Gammaproteobacteria	2014C-4356	SAMN07159041	PRJNA218110	0.113727	48.8037	unnamed4:NZ_CP024286.1/CP024286.1	98	0	2017-11-05T00:00:00Z	GCA_002741375.1	135	2017-11-05T00:00:00Z	0
Escherichia albertii	Bacteria;Proteobacteria;Gammaproteobacteria	2014C-4356	SAMN07159041	PRJNA218110	0.124142	50.8281	unnamed5:NZ_CP024287.1/CP024287.1	134	0	2017-11-05T00:00:00Z	GCA_002741375.1	153	2017-11-05T00:00:00Z	0
Escherichia albertii	Bacteria;Proteobacteria;Gammaproteobacteria	2014C-4356	SAMN07159041	PRJNA218110	0.019118	53.107	unnamed6:NZ_CP024288.1/CP024288.1	15	0	2017-11-05T00:00:00Z	GCA_002741375.1	30	2017-11-05T00:00:00Z	0
Escherichia albertii	Bacteria;Proteobacteria;Gammaproteobacteria	ChinaSP140150	SAMN08242133	PRJNA427641	0.129356	51.9319	pEA-1:NZ_CP025677.1/CP025677.1	147	0	2018-01-13T00:00:00Z	GCA_002872455.1	182	2018-01-13T00:00:00Z	0
Escherichia albertii	Bacteria;Proteobacteria;Gammaproteobacteria	ChinaSP140150	SAMN08242133	PRJNA427641	0.05711	46.0795	pEA-2:NZ_CP025678.1/CP025678.1	45	0	2018-01-13T00:00:00Z	GCA_002872455.1	77	2018-01-13T00:00:00Z	0
Escherichia albertii	Bacteria;Proteobacteria;Gammaproteobacteria	ChinaSP140150	SAMN08242133	PRJNA427641	0.068747	42.4702	pEA-3:NZ_CP025679.1/CP025679.1	72	0	2018-01-13T00:00:00Z	GCA_002872455.1	90	2018-01-13T00:00:00Z	0
Escherichia albertii	Bacteria;Proteobacteria;Gammaproteobacteria	MBT-EA1	SAMN08518099	PRJNA433818	0.003598	43.4408	pEA1_3:NZ_CM009573.1/CM009573.1	3	0	2018-03-13T00:00:00Z	GCA_002937375.1	5	2018-03-13T00:00:00Z	0
Escherichia albertii	Bacteria;Proteobacteria;Gammaproteobacteria	05-3106	SAMN08199278	PRJNA218110	0.0566	44.1873	unnamed1:NZ_CP030779.1/CP030779.1	54	0	2018-07-15T00:00:00Z	GCA_003312485.1	71	2018-07-15T00:00:00Z	0
Escherichia albertii	Bacteria;Proteobacteria;Gammaproteobacteria	05-3106	SAMN08199278	PRJNA218110	0.080627	54.2349	unnamed2:NZ_CP030780.1/CP030780.1	91	0	2018-07-15T00:00:00Z	GCA_003312485.1	110	2018-07-15T00:00:00Z	0
Escherichia albertii	Bacteria;Proteobacteria;Gammaproteobacteria	2012EL-1823B	SAMN04498560	PRJNA218110	0.100341	47.1672	unnamed1:NZ_CP030784.1/CP030784.1	105	0	2018-07-15T00:00:00Z	GCA_003312525.1	123	2018-07-15T00:00:00Z	3
Escherichia albertii	Bacteria;Proteobacteria;Gammaproteobacteria	2012EL-1823B	SAMN04498560	PRJNA218110	0.08111	51.3402	unnamed2:NZ_CP030785.1/CP030785.1	88	0	2018-07-15T00:00:00Z	GCA_003312525.1	115	2018-07-15T00:00:00Z	0
Escherichia albertii	Bacteria;Proteobacteria;Gammaproteobacteria	2012EL-1823B	SAMN04498560	PRJNA218110	0.105845	44.6833	unnamed3:NZ_CP030786.1/CP030786.1	77	0	2018-07-15T00:00:00Z	GCA_003312525.1	114	2018-07-15T00:00:00Z	0
Escherichia albertii	Bacteria;Proteobacteria;Gammaproteobacteria	07-3866	SAMN07159045	PRJNA218110	0.104255	48.1281	unnamed:CP030782.1	0	0	2018-07-11T00:00:00Z	GCA_003316815.1	0	2018-07-11T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	ECONIH1	SAMN02709589	PRJNA242851	0.121385	51.887	pECO-824:NZ_CP009860.1/CP009860.1	132	0	2015-01-21T00:00:00Z	GCA_000784925.1	171	2018-07-16T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	ECONIH1	SAMN02709589	PRJNA242851	0.04756	44.5585	pECO-b75:NZ_CP009861.1/CP009861.1	68	0	2015-01-21T00:00:00Z	GCA_000784925.1	69	2018-07-16T00:00:00Z	1
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	ECONIH1	SAMN02709589	PRJNA242851	0.080186	53.9645	pKPC-629:NZ_CP009862.1/CP009862.1	84	0	2015-01-21T00:00:00Z	GCA_000784925.1	103	2018-07-16T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	UMNturkey6	SAMN03075672	PRJNA261775	0.001506	50.1992	pUMNturkey6_1:NZ_JRQB01000010.1/JRQB01000010.1	1	0	2015-06-17T00:00:00Z	GCA_000785775.1	3	2018-07-16T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	UMNturkey6	SAMN03075672	PRJNA261775	0.01012	38.2016	pUMNturkey6_10:NZ_JRQB01000019.1/JRQB01000019.1	8	0	2015-06-17T00:00:00Z	GCA_000785775.1	10	2018-07-16T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	UMNturkey6	SAMN03075672	PRJNA261775	0.005043	50.7833	pUMNturkey6_5:NZ_JRQB01000023.1/JRQB01000023.1	6	0	2015-06-17T00:00:00Z	GCA_000785775.1	7	2018-07-16T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	UMNturkey6	SAMN03075672	PRJNA261775	0.012282	46.5478	pUMNturkey6_12:NZ_JRQB01000033.1/JRQB01000033.1	11	0	2015-06-17T00:00:00Z	GCA_000785775.1	11	2018-07-16T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	UMNturkey5	SAMN03075671	PRJNA261775	0.005043	50.7833	pUMNturkey5_5:NZ_JRQA01000059.1/JRQA01000059.1	6	0	2015-06-17T00:00:00Z	GCA_000785795.1	7	2018-07-16T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	UMNturkey5	SAMN03075671	PRJNA261775	0.03294	49.2502	pUMNturkey5_IncX:NZ_JRQA01000080.1/JRQA01000080.1	29	0	2015-06-17T00:00:00Z	GCA_000785795.1	43	2018-07-16T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	UMNturkey3	SAMN03075669	PRJNA261775	0.003897	51.7834	pUMNturkey3_3:NZ_JROQ01000053.1/JROQ01000053.1	4	0	2015-06-17T00:00:00Z	GCA_000785865.1	4	2018-07-16T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	RM9387	SAMN03264844	PRJNA253935	0.168318	49.4421	pO104_H7:NZ_CP009105.1/CP009105.1	169	0	2015-01-21T00:00:00Z	GCA_000801165.1	213	2017-02-23T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	789	SAMN03083542	PRJNA262513	0.144859	50.4318	pAPEC-O78-ColV:NZ_CP010316.1/CP010316.1	151	0	2015-03-04T00:00:00Z	GCA_000819645.1	180	2017-02-23T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	789	SAMN03083542	PRJNA262513	0.106397	50.7044	pAPEC-O78-2:NZ_CP010317.1/CP010317.1	119	0	2015-03-04T00:00:00Z	GCA_000819645.1	131	2017-02-23T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	789	SAMN03083542	PRJNA262513	0.004599	50.4457	pAPEC-O78-3:NZ_CP010318.1/CP010318.1	5	0	2015-03-04T00:00:00Z	GCA_000819645.1	7	2017-02-23T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	UMNturkey7	SAMN03075673	PRJNA261775	0.060217	48.7188	pUMNturkey7_IncX:NZ_CM003131.1/CM003131.1	57	0	2015-02-12T00:00:00Z	GCA_000826805.1	75	2018-07-16T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	MNCRE44	SAMN03287565	PRJNA272863	0.001506	50.1992	pMNCRE44_1:NZ_CP010877.1/CP010877.1	1	0	2015-03-04T00:00:00Z	GCA_000931565.1	3	2018-07-16T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	MNCRE44	SAMN03287565	PRJNA272863	0.004088	49.8777	pMNCRE44_2:NZ_CP010878.1/CP010878.1	3	0	2015-03-04T00:00:00Z	GCA_000931565.1	4	2018-07-16T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	MNCRE44	SAMN03287565	PRJNA272863	0.005167	47.5131	pMNCRE44_3:NZ_CP010879.1/CP010879.1	5	0	2015-03-04T00:00:00Z	GCA_000931565.1	5	2018-07-16T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	MNCRE44	SAMN03287565	PRJNA272863	0.030855	41.776	pMNCRE44_4:NZ_CP010880.1/CP010880.1	41	0	2015-03-04T00:00:00Z	GCA_000931565.1	47	2018-07-16T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	MNCRE44	SAMN03287565	PRJNA272863	0.116803	52.1605	pMNCRE44_5:NZ_CP010881.1/CP010881.1	126	0	2015-03-04T00:00:00Z	GCA_000931565.1	144	2018-07-16T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	MNCRE44	SAMN03287565	PRJNA272863	0.122966	51.2654	pMNCRE44_6:NZ_CP010882.1/CP010882.1	134	0	2015-03-04T00:00:00Z	GCA_000931565.1	175	2018-07-16T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	6409	SAMN03263950	PRJNA270222	0.151583	51.9405	p6409-151.583kb:NZ_CP010372.1/CP010372.1	173	0	2015-01-21T00:00:00Z	GCA_000814145.2	214	2017-02-23T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	6409	SAMN03263950	PRJNA270222	0.193908	52.8276	p6409-202.186kb:NZ_CP010373.2/CP010373.2	222	0	2015-01-21T00:00:00Z	GCA_000814145.2	242	2017-02-23T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	CI5	SAMN03390066	PRJNA277394	0.207265	47.3129	unnamed:NZ_CP011019.1/CP011019.1	187	0	2015-04-17T00:00:00Z	GCA_000971615.1	236	2017-02-23T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	CFSAN029787	SAMN03612246	PRJNA243331	0.293826	46.6153	pCFSAN029787_01:NZ_CP011417.1/CP011417.1	262	0	2015-05-18T00:00:00Z	GCA_001007915.1	390	2018-07-17T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	CFSAN029787	SAMN03612246	PRJNA243331	0.047606	51.8485	pCFSAN029787_02:NZ_CP011418.1/CP011418.1	50	0	2015-05-18T00:00:00Z	GCA_001007915.1	67	2018-07-17T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	NCM3722	SAMN03659038	PRJNA284094	0.067545	51.6678	F:NZ_CP011496.1/CP011496.1	80	0	2015-07-09T00:00:00Z	GCA_001043215.1	90	2017-02-23T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	94-3024	SAMN03262652	PRJNA253936	0.161447	49.4664	pO104_H21:NZ_CP009107.1/CP009107.1	158	0	2015-01-21T00:00:00Z	GCA_000801185.2	183	2017-02-23T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	SF-088	SAMN04026225	PRJNA294467	0.149683	51.0566	pSF-088-1:NZ_CP012636.1/CP012636.1	159	0	2016-01-27T00:00:00Z	GCA_001280325.1	192	2018-07-19T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	SF-088	SAMN04026225	PRJNA294467	0.005167	47.5131	pSF-088-2:NZ_CP012637.1/CP012637.1	5	0	2016-01-27T00:00:00Z	GCA_001280325.1	5	2018-07-19T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	SF-088	SAMN04026225	PRJNA294467	0.003904	51.0246	pSF-088-3:NZ_CP012638.1/CP012638.1	3	0	2016-01-27T00:00:00Z	GCA_001280325.1	3	2018-07-19T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	SF-468	SAMN04026228	PRJNA294467	0.110808	51.7246	pSF-468-1:NZ_CP012626.1/CP012626.1	117	0	2016-01-27T00:00:00Z	GCA_001280345.1	150	2017-02-24T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	SF-468	SAMN04026228	PRJNA294467	0.092766	49.8491	pSF-468-2:NZ_CP012627.1/CP012627.1	101	0	2016-01-27T00:00:00Z	GCA_001280345.1	122	2017-02-24T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	SF-468	SAMN04026228	PRJNA294467	0.006647	48.6084	pSF-468-3:NZ_CP012628.1/CP012628.1	12	0	2016-01-27T00:00:00Z	GCA_001280345.1	12	2017-02-24T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	SF-468	SAMN04026228	PRJNA294467	0.004072	49.8035	pSF-468-4:NZ_CP012629.1/CP012629.1	4	0	2016-01-27T00:00:00Z	GCA_001280345.1	4	2017-02-24T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	SF-468	SAMN04026228	PRJNA294467	0.001551	51.6441	pSF-468-5:NZ_CP012630.1/CP012630.1	2	0	2016-01-27T00:00:00Z	GCA_001280345.1	2	2017-02-24T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	SF-166	SAMN04026226	PRJNA294467	0.114221	51.0169	pSF-166-1:NZ_CP012634.1/CP012634.1	140	0	2016-01-27T00:00:00Z	GCA_001280385.1	160	2017-02-24T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	SF-173	SAMN04026227	PRJNA294467	0.093074	53.0127	pSF-173-1:NZ_CP012632.1/CP012632.1	121	0	2015-09-14T00:00:00Z	GCA_001280405.1	129	2017-02-24T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	2012C-4227	SAMN03952643	PRJNA218110	0.074656	48.4288	unnamed1:NZ_CP013028.1/CP013028.1	56	0	2016-01-27T00:00:00Z	GCA_001420935.1	85	2017-03-05T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	2012C-4227	SAMN03952643	PRJNA218110	0.097704	47.7432	unnamed2:NZ_CP013030.1/CP013030.1	123	0	2016-01-27T00:00:00Z	GCA_001420935.1	132	2017-03-05T00:00:00Z	4
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	2009C-3133	SAMN02991226	PRJNA218110	0.120611	53.2	unnamed1:NZ_CP013024.1/CP013024.1	143	0	2016-01-27T00:00:00Z	GCA_001420955.1	161	2018-07-19T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	2009C-3133	SAMN02991226	PRJNA218110	0.0638	52.1066	unnamed2:NZ_CP013026.1/CP013026.1	79	0	2016-01-27T00:00:00Z	GCA_001420955.1	93	2018-07-19T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	2009C-3133	SAMN02991226	PRJNA218110	0.174564	49.5022	unnamed3:NZ_CP013027.1/CP013027.1	171	0	2016-01-27T00:00:00Z	GCA_001420955.1	224	2018-07-19T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria			PRJNA62977	0.124705	50.767	pAPEC-O103-ColBM:NC_011964.1/CP001232.1	126	0	2009-01-22T00:00:00Z		131	2014-12-17T00:00:00Z	0
Escherichia coli	Bacteria;Proteobacteria;Gammaproteobacteria	HUSEC2011	SAMEA3865278	PRJEA76335	0.001549	50.807	IV:NC_022741.1/HE610902.1	2	0	2013-11-03T00:00:00Z	GCA_000967155.1	3	2017-09-20T00:00:00Z	0
